1414096360338,63,-24
1414096347492,64,64
1414096351122,64,112
1414096348936,64,80
1414096373348,64,112
1414096364542,65,-48
1414096355738,64,112
1414096378523,59,-88
1414096370746,59,-104
1414096358739,73,80
1414096363349,65,-56
1414096367138,60,32
1414096353741,64,32
1414096371740,67,88
1414096352542,64,72
1414096357922,77,40
1414096345473,64,48
1414096346875,64,96
1414096368349,63,-72
1414096369541,59,-96
1414096363742,65,72
1414096344678,64,-120
1414096360922,54,-88
1414096375755,72,32
1414096373938,64,16
1414096370540,67,72
1414096354739,64,64
1414096347090,64,80
1414096350341,64,32
1414096357338,64,0
1414096369745,67,-72
1414096348724,64,64
1414096343072,64,112
1414096369339,73,112
1414096375760,67,8
1414096351340,64,112
1414096365940,59,-120
1414096349940,64,-112
1414096345271,64,-112
1414096376922,65,-40
1414096373559,71,40
1414096372741,61,-112
1414096374940,71,40
1414096366141,66,-120
1414096356339,64,-112
1414096348522,64,48
1414096377142,64,16
1414096344872,64,-80
1414096364738,63,104
1414096343672,64,64
1414096369139,61,112
1414096359931,76,0
1414096360139,73,16
1414096352338,64,-64
1414096379533,63,16
1414096355537,64,64
1414096379323,69,-96
1414096344072,64,112
1414096371539,62,-32
1414096342672,64,48
1414096378364,65,48
1414096353138,64,64
1414096368522,69,112
1414096372342,68,16
1414096365538,67,112
1414096356738,64,16
1414096350940,64,0
1414096346086,64,16
1414096362536,72,-64
1414096366946,68,120
1414096357736,64,-128
1414096343872,64,80
1414096350142,64,48
1414096366338,62,88
1414096354538,64,48
1414096346284,64,-128
1414096367753,69,112
1414096362338,54,0
1414096349336,64,-88
1414096351538,64,-88
1414096363941,62,16
1414096374742,65,8
1414096356538,64,80
1414096376136,64,-80
1414096369941,65,-128
1414096361538,66,-128
1414096361136,61,8
1414096372544,69,80
1414096353936,64,96
1414096358927,61,-64
1414096347689,64,-96
1414096372940,58,-64
1414096342872,64,0
1414096353350,64,-128
1414096350522,64,-80
1414096359736,70,40
1414096364139,75,40
1414096344273,63,-48
1414096377339,62,-104
1414096357522,64,-112
1414096355338,65,16
1414096362738,73,-120
1414096377539,89,-96
1414096362138,65,-40
1414096366738,70,-8
1414096349540,63,-48
1414096356136,64,0
1414096345072,63,16
1414096375123,71,104
1414096371342,70,-16
1414096368942,66,-56
1414096350741,64,80
1414096348329,63,-48
1414096352939,64,-96
1414096367540,64,-104
1414096374542,64,72
1414096373722,57,72
1414096345877,64,64
1414096354339,64,48
1414096354138,64,96
1414096365339,69,8
1414096361337,55,-24
1414096346482,64,96
1414096366537,65,-64
1414096356938,64,-80
1414096378139,70,-128
1414096367944,68,-104
1414096351739,64,112
1414096360536,58,24
1414096343473,64,64
1414096372139,65,72
1414096359379,44,16
1414096370141,63,-64
1414096347877,64,80
1414096358135,57,-64
1414096368738,75,72
1414096359341,68,32
1414096351930,64,16
1414096376789,65,-40
1414096368141,59,0
1414096373139,65,48
1414096361722,73,88
1414096359522,74,48
1414096376792,62,-64
1414096379179,65,80
1414096364337,61,-48
1414096349135,64,-80
1414096355938,64,32
1414096367340,62,72
1414096353538,64,96
1414096370922,61,-64
1414096377738,65,-24
1414096376774,64,0
1414096352722,63,-64
1414096358538,43,104
1414096346682,63,-16
1414096362939,77,0
1414096354941,64,-80
1414096363137,58,72
1414096376537,63,-32
1414096344472,64,32
1414096360751,63,120
1414096375339,64,-16
1414096363539,66,-112
1414096361922,62,-96
1414096347289,63,-48
1414096352138,64,48
1414096371939,68,16
1414096357140,64,80
1414096379141,70,-96
1414096364922,59,16
1414096377940,66,64
1414096349740,64,96
1414096371138,67,104
1414096358346,57,0
1414096345678,64,64
1414096365140,56,-128
1414096374143,65,-72
1414096370341,59,16
1414096348089,64,80
1414096343273,64,0
1414096365740,59,-16
1414096355138,64,112
1414096374341,67,-40
1414096378740,69,32
